800 3
0.270743 -0.628642 0.729046
0.616048 -0.414200 -0.670017
0.242528 0.248660 -0.937736
0.709970 -0.429714 0.557932
-0.622112 -0.682479 0.383666
0.814348 0.572642 -0.094441
-0.139284 0.769530 0.623236
-0.160901 -0.048816 -0.985763
0.114555 -0.031333 -0.992923
0.345048 -0.077381 -0.935390
0.489298 0.746039 -0.451678
0.267641 -0.050023 -0.962219
0.602921 -0.166297 0.780276
-0.799440 0.073666 -0.596212
0.283942 -0.868671 0.405941
0.086694 0.107361 0.990433
-0.557050 0.298262 0.775071
0.828681 -0.484925 -0.279527
0.171301 -0.630727 -0.756861
0.967759 -0.251771 -0.007325
-0.448308 -0.666314 -0.595857
0.936666 0.213772 0.277412
0.476798 -0.663863 0.576151
0.852896 -0.375504 -0.362719
-0.423985 -0.882735 0.202523
0.042613 -0.875523 -0.481295
-0.043082 -0.997795 0.050483
-0.769837 0.618926 0.155825
-0.424168 -0.628193 0.652270
0.436323 0.807879 0.396174
-0.219243 -0.773583 -0.594560
0.911715 0.184825 0.366899
-0.112331 0.657700 -0.744858
0.682633 0.203783 0.701772
0.125851 0.088016 -0.988137
0.340766 -0.685122 -0.643807
-0.224865 -0.622482 0.749635
-0.347654 0.775165 -0.527500
0.951318 -0.307635 0.018822
0.922906 0.202924 -0.327211
-0.614929 0.249097 0.748207
-0.599481 0.552003 0.579582
0.042915 -0.438784 0.897567
0.105010 -0.359758 0.927117
0.379832 0.906867 0.182538
-0.994404 0.064041 0.084022
-0.941831 0.335166 0.024862
-0.490489 -0.643223 -0.587950
-0.136345 -0.522367 -0.841750
0.023215 -0.788137 -0.615062
-0.148367 0.899230 -0.411548
-0.045324 -0.095853 0.994363
-0.509275 -0.750369 -0.421408
0.499799 0.816885 -0.287922
0.730425 0.677309 0.087934
-0.836543 0.008599 -0.547834
0.957591 -0.247510 -0.147509
-0.353613 0.554232 -0.753515
-0.677135 -0.401995 -0.616351
0.043286 0.260688 0.964452
0.006101 -0.766268 -0.642492
-0.024549 0.766578 -0.641682
-0.474367 -0.017764 -0.880148
-0.309694 -0.934656 0.174667
0.764924 -0.625522 0.153670
0.954701 -0.249661 -0.161913
-0.697719 -0.213282 0.683885
0.548770 0.651796 -0.523462
0.497852 0.678881 0.539688
-0.037020 0.784148 -0.619469
0.114963 -0.179361 -0.977043
-0.025347 0.941840 0.335103
0.360151 -0.842628 0.400337
0.009401 0.230944 0.972922
0.744607 -0.354603 0.565524
-0.340774 0.469136 -0.814730
0.236145 0.677138 -0.696936
-0.002823 0.414521 -0.910035
-0.618960 -0.552949 -0.557795
-0.219432 0.037177 -0.974919
-0.299347 0.403109 0.864809
0.393641 -0.707283 -0.587195
-0.844397 -0.501268 -0.189007
-0.842155 -0.272017 -0.465597
0.798798 -0.457666 -0.390466
-0.208345 0.909534 -0.359640
0.044164 -0.975536 0.215359
0.023250 -0.992120 -0.123115
-0.593369 0.554091 0.583864
-0.909204 -0.412735 -0.054743
0.872098 0.450269 0.191583
0.901277 0.317780 0.294475
-0.964277 -0.188958 -0.185648
0.174556 -0.941798 0.287310
0.336571 -0.148138 -0.929933
0.495058 0.526561 0.691123
-0.887668 -0.409718 0.210184
-0.956302 0.186222 0.225408
0.888557 0.066573 -0.453909
-0.507386 0.832402 0.222860
0.271877 0.441681 -0.854986
0.272420 -0.953658 0.127765
-0.258286 0.638080 -0.725356
-0.955038 -0.173077 -0.240720
0.328019 0.559845 0.760906
-0.800373 -0.596873 0.056086
-0.077142 0.944421 0.319561
-0.565849 -0.822346 -0.059684
-0.336100 -0.836803 -0.432201
-0.002489 -0.214327 -0.976759
-0.854525 0.274441 -0.440987
0.488355 0.283952 -0.825155
0.131700 0.991229 -0.010997
0.849549 -0.514476 -0.116538
0.575620 0.817692 -0.006380
0.457265 -0.886158 0.075052
-0.966895 -0.237551 -0.093184
0.994197 -0.024150 0.104831
0.621920 0.332677 -0.708902
-0.915279 0.344684 -0.208463
0.783744 0.621077 0.002912
0.272509 -0.066515 -0.959851
0.363932 0.010600 0.931365
0.046731 -0.296129 -0.954004
0.394725 -0.877109 0.273627
0.633302 -0.685580 -0.359039
0.820740 0.481466 0.307533
-0.567716 0.413655 -0.711750
-0.025713 0.414072 0.909881
0.293131 -0.900845 -0.320239
-0.786910 0.361789 -0.499882
0.574893 -0.361566 0.734008
0.109325 0.239502 -0.964721
-0.050880 0.585202 0.809290
0.549570 0.713477 0.434653
0.522919 0.601224 -0.604223
0.364458 -0.391584 0.844886
-0.848254 -0.464283 -0.254769
-0.170481 -0.055227 0.983812
0.571886 0.736839 -0.360574
0.601695 -0.795837 -0.067866
-0.714631 -0.688662 0.122666
-0.473693 0.643845 0.600898
-0.687414 -0.057359 0.723997
-0.792734 0.562308 0.235334
0.756063 0.391036 -0.524843
0.024954 0.393332 0.919058
0.621226 0.608239 0.494088
0.403418 0.914966 -0.009542
0.048200 0.762483 -0.645210
-0.232513 0.133075 -0.963446
0.725753 0.234070 -0.646911
0.751861 -0.526893 0.396345
0.401841 -0.145279 0.904111
-0.862103 0.049541 0.504305
-0.993840 0.067214 -0.088112
-0.330651 0.537907 -0.775452
0.768736 -0.558122 0.312321
-0.244289 0.262621 0.933463
0.565449 0.475023 0.674256
0.123950 -0.644222 -0.754728
-0.627150 0.520560 0.579396
0.046481 0.889536 0.454494
-0.823125 0.567659 0.015116
0.684712 0.474535 0.553160
0.675329 0.737261 0.019397
0.387660 -0.147737 -0.909887
0.916736 -0.259264 -0.303937
-0.763247 -0.390155 -0.515007
0.922451 0.363747 0.129509
0.094949 0.989848 -0.105762
-0.270876 0.357681 0.893695
0.404385 -0.842890 0.354978
0.977182 0.094871 0.190037
0.555878 0.154039 -0.816867
0.383003 0.686327 -0.618274
-0.518472 -0.705339 0.483408
-0.077035 -0.667841 0.740307
-0.599130 -0.800540 0.013346
-0.924274 0.294395 0.242999
-0.860539 -0.261832 -0.436940
-0.259828 0.867400 0.424390
-0.032308 -0.968510 -0.246871
0.292501 0.724832 -0.623748
-0.358655 -0.854841 0.374984
0.394975 0.889802 0.228579
-0.643721 0.698707 0.312141
-0.546117 -0.550378 -0.631538
0.177636 -0.924022 -0.338570
0.847114 0.473538 0.241162
0.900061 -0.427786 0.083006
0.147929 -0.907660 0.392772
-0.568777 0.047312 -0.821130
-0.919645 0.392090 0.022765
-0.811650 0.281977 -0.511580
-0.215274 0.582405 0.783876
-0.975695 -0.052212 0.212820
-0.670657 -0.045459 -0.740373
0.395962 -0.875086 0.278279
0.153277 -0.529676 -0.834236
-0.613917 -0.784493 -0.087611
-0.501931 0.479666 0.719712
0.301799 -0.740683 0.600254
-0.430969 -0.090169 -0.897850
-0.117060 0.159580 -0.980220
0.792281 -0.319450 0.519848
0.181329 -0.179194 0.966959
-0.926861 -0.302162 0.222770
-0.595354 -0.576757 -0.559379
-0.853199 -0.519489 0.046724
0.261557 0.961844 -0.080276
-0.085174 0.255318 0.963098
-0.589534 0.108919 -0.800366
0.096807 0.785682 0.611009
0.354989 -0.527261 -0.771996
0.337773 0.933858 0.117553
0.106984 0.701753 0.704342
0.407874 0.749802 0.520995
0.111976 0.792650 -0.599306
-0.918149 0.392542 0.053970
-0.214192 0.530228 0.820354
0.848490 -0.443266 -0.289101
-0.872731 0.409288 -0.266127
0.392495 0.904138 -0.168764
0.736846 -0.501566 -0.453309
0.949072 -0.121420 0.290724
-0.864685 0.349475 -0.360813
0.697059 0.584962 -0.414643
-0.037355 0.736557 0.675343
-0.571813 0.369369 0.732527
-0.823226 -0.558678 0.100888
-0.030771 0.400244 0.915892
-0.641846 -0.484079 -0.594728
-0.180225 -0.724874 0.664888
0.132288 0.737352 -0.662429
0.693155 0.630067 0.350073
-0.274698 0.909655 -0.311560
-0.413451 0.896426 0.159620
-0.733908 0.378798 -0.563818
-0.632884 -0.031274 0.773615
0.137706 0.082043 -0.987069
-0.060405 0.768614 0.636854
0.267992 -0.807248 -0.525863
0.868793 0.161324 0.468159
0.774729 -0.371395 0.511723
-0.074204 -0.597373 0.798523
-0.947864 0.067956 0.311344
-0.792295 -0.426054 0.436745
0.027821 0.347463 -0.937281
-0.792681 0.209649 0.572455
0.951135 -0.224631 -0.211856
-0.801256 -0.242678 0.546897
-0.777545 -0.103869 0.620189
0.113130 0.973883 0.196857
-0.982453 0.068645 0.173419
-0.534543 -0.528266 0.659695
-0.394374 -0.826407 0.401896
-0.762059 0.587172 -0.272937
-0.482484 0.530667 0.696852
0.840233 -0.063568 -0.538486
0.622602 0.150462 -0.767937
0.296985 -0.261270 -0.918443
0.227813 -0.138060 0.963867
0.282172 -0.944947 -0.165693
0.688160 0.491520 -0.533708
-0.069961 0.936211 0.344405
-0.342629 0.576401 0.741868
-0.388579 -0.822122 0.416078
0.470697 0.544522 -0.694219
-0.151507 -0.828911 0.538471
0.783316 0.621612 -0.003949
-0.045416 -0.065718 0.996804
-0.222396 0.008145 0.974922
0.164160 -0.889309 0.426827
-0.129990 -0.582179 0.802602
0.800388 -0.553401 0.230490
0.741089 -0.605881 0.289303
-0.453062 0.775362 -0.439942
-0.156548 -0.469192 0.869110
0.321951 0.946350 -0.027718
0.970232 0.188502 0.152043
-0.034438 -0.924509 -0.379603
-0.870531 -0.000123 0.492114
-0.972620 0.123354 0.196961
0.728708 -0.497091 0.471047
-0.382198 -0.315643 -0.868501
-0.737811 -0.672767 0.054950
0.618906 -0.753489 -0.221832
0.341538 -0.939582 0.023196
-0.885670 -0.463406 -0.029039
0.351901 0.784923 0.509961
0.059587 0.940691 0.333990
0.756351 -0.654149 -0.004725
0.965488 0.175854 -0.192116
-0.923253 0.058660 0.379688
0.186173 0.328440 -0.925995
0.837159 -0.112816 0.535199
-0.201964 -0.845792 -0.493808
-0.934887 -0.002770 0.354934
-0.916252 0.168299 0.363536
0.396022 0.155700 -0.904944
-0.413535 -0.907836 -0.069442
0.644992 0.176150 -0.743610
0.445462 0.214582 -0.869205
-0.933786 -0.127812 -0.334228
0.744770 0.518069 0.420621
0.205494 -0.450218 0.868951
0.347577 -0.769191 0.536223
-0.157198 -0.898689 -0.409447
0.466401 0.640806 0.609785
-0.531371 -0.832734 0.155563
-0.485974 -0.057039 -0.872110
0.688499 -0.118048 0.715566
-0.568070 -0.771552 -0.286362
0.310529 -0.948998 0.054536
-0.950506 0.283951 0.126134
-0.782988 0.354175 0.511361
0.455715 -0.890047 -0.011839
0.502930 0.290942 -0.813888
0.356116 0.394697 0.846992
0.418481 0.801158 -0.427808
-0.752683 0.615240 -0.234410
0.383221 -0.682984 0.621832
0.321991 -0.924051 0.206036
0.831815 0.332191 0.444672
-0.562691 0.412842 -0.716199
-0.567214 -0.096704 -0.817873
-0.842270 0.485348 -0.234558
-0.425187 -0.641646 0.638363
-0.693461 -0.719868 -0.030047
-0.198313 0.734254 -0.649263
-0.872469 0.399550 0.281351
0.771112 0.075273 -0.632234
0.906068 -0.091029 0.413224
0.375420 0.655006 0.655764
0.785366 0.618864 0.014421
-0.551467 0.569716 0.609350
0.219339 0.648853 -0.728615
-0.804536 0.052203 0.591606
-0.518521 0.822836 -0.232545
0.624463 -0.195851 -0.756101
0.856781 -0.468695 0.215062
0.425340 0.146155 -0.893155
-0.056812 -0.743244 0.666603
-0.039625 0.328263 -0.943755
-0.877481 0.462236 -0.127930
-0.936439 -0.290477 -0.196738
0.632047 -0.237755 0.737556
-0.861602 0.489699 -0.133555
0.988437 -0.105653 -0.108761
-0.293994 0.877446 0.379020
-0.197023 -0.620929 0.758702
-0.441404 -0.760910 -0.475582
-0.831678 -0.208680 0.514553
-0.244585 -0.723344 -0.645718
-0.389270 -0.672880 0.629048
0.404586 0.834237 0.374646
0.447965 0.465264 -0.763451
0.937321 -0.005416 -0.348426
0.417567 0.772389 -0.478595
0.474155 0.098506 0.874914
-0.626660 -0.253593 0.736877
0.421702 -0.386799 0.820094
-0.088313 -0.158688 0.983371
0.364207 0.927248 0.086979
-0.654595 0.706652 -0.268607
-0.967988 0.243836 -0.059526
0.993343 -0.115115 0.004261
0.523992 0.785865 0.328404
0.535029 -0.685097 0.494353
-0.519714 -0.667969 0.532649
-0.539382 0.530827 0.653674
0.355976 0.914566 -0.191962
-0.802088 0.388244 -0.453786
-0.651379 0.073894 -0.755146
0.661058 0.625573 -0.414319
-0.717143 -0.452006 0.530469
0.148915 0.987870 0.044009
-0.200181 0.177336 0.963576
-0.753595 -0.432901 -0.494662
-0.010791 0.950855 -0.309447
-0.134874 0.519325 0.843866
-0.740258 -0.670113 0.054462
-0.011363 0.117987 -0.992950
0.449566 -0.890937 -0.064195
0.597936 -0.065391 -0.798872
-0.103719 -0.831470 -0.545802
-0.448093 0.669462 0.592481
-0.501432 -0.292602 -0.814217
0.754549 0.606604 0.250375
0.597032 -0.398609 -0.696178
0.682383 -0.643600 0.346601
0.387416 -0.854300 0.346527
-0.063849 0.945797 -0.318421
-0.816765 -0.550257 -0.173530
0.427355 0.060856 0.902034
-0.750590 0.380905 -0.539931
-0.383902 0.923227 0.016496
0.527780 0.849053 0.023632
0.428411 0.892397 0.141747
-0.865061 0.455346 0.210545
0.691419 0.465009 -0.552908
-0.255521 -0.182050 -0.949509
-0.853304 0.157647 -0.497010
-0.320841 -0.908129 -0.269004
-0.160285 -0.492128 0.855639
-0.621161 -0.736896 -0.266727
0.976156 0.209223 -0.057841
0.829120 0.382584 0.407665
-0.396819 0.848819 0.349344
-0.946914 -0.185969 -0.262240
-0.083526 -0.121988 -0.989011
-0.835787 0.548114 -0.032096
0.380372 -0.808578 -0.448908
-0.170019 -0.843899 0.508851
0.923885 -0.184380 0.335322
-0.850865 -0.169714 -0.497218
-0.423261 0.828820 -0.365933
0.734134 0.574116 -0.362543
-0.413218 -0.346057 0.842315
0.179376 -0.980347 0.082127
-0.813964 0.424752 -0.396294
0.423378 0.271766 0.864230
-0.052417 0.504669 0.861720
0.568211 0.821104 -0.054086
-0.170255 0.862862 0.475902
-0.929459 0.367424 0.033250
-0.664592 -0.114453 0.738389
-0.564079 0.154603 0.811118
0.461268 -0.459120 0.759237
-0.339872 -0.038716 -0.939674
0.805339 -0.297838 -0.512563
-0.574538 -0.674490 0.463647
0.861755 -0.234621 -0.449812
0.057522 0.984026 0.168475
-0.447123 -0.893042 0.050563
-0.111213 0.443962 0.889117
-0.459398 -0.858605 -0.227488
-0.337848 -0.941014 0.018762
0.535042 0.243578 -0.808950
-0.014815 0.492072 -0.870429
0.088971 0.540613 -0.836553
-0.454060 -0.799932 0.392349
0.455225 -0.675377 -0.580204
-0.467998 0.693666 0.547545
0.189592 -0.976541 0.102096
-0.452038 -0.891769 -0.020218
0.841725 0.035536 0.538736
-0.725458 -0.542344 -0.423762
-0.187411 0.161554 -0.968905
0.821217 -0.478788 -0.310427
0.890639 0.006441 0.454666
-0.970427 0.233307 0.061969
-0.097274 0.050066 0.993998
-0.964414 0.241709 0.107152
0.042437 -0.333235 -0.941888
-0.404830 0.826733 0.390673
0.177955 -0.802297 0.569782
-0.849277 0.154515 0.504830
0.770294 0.176061 -0.612902
0.448922 0.893155 0.027258
-0.173473 -0.967307 0.184996
-0.811129 0.136392 0.568741
0.572005 0.816290 -0.080504
-0.484897 0.752273 -0.446049
-0.704013 -0.563216 0.432612
0.356589 0.930320 -0.085724
-0.062414 -0.856805 -0.511849
0.042300 0.940895 0.336045
0.692410 -0.395380 -0.603526
-0.083637 0.694983 -0.714145
0.023554 -0.241091 0.970217
